Country,Total pop 19391939,Militarydeaths,Civilian deaths,Totaldeaths,% of Population,Militarywounded
Australia,"6,968,000","39,700",700,40400,0.58,"39,803"
Belgium,"8,387,000","12,000","76,000",88000,1.05,"55,513"
Bulgaria,"6,458,000","18,500","3,000",21500,0.33,"21,878"
Canada,"11,267,000","42,000","1,600",43600,0.38,"53,174"
France,"41,680,000","210,000","390,000",600000,1.44,"390,000"
Germany,"69,300,000","5,318,000","3,000,000","7,400,000",1,"7,300,000"
Greece,"7,222,000","35,100","171,800","507,000",9.095,"47,290"
Hungary,"9,129,000","200,000","664,000","864,000",7.27,"89,313"
India,"377,800,000","87,000",,"3,087,000",0.58,"64,354"
Italy,"44,394,000","341,000","153,200","492,400",1.135,"320,000"
Japan,"71,380,000","2,300,000","800,000","3,100,000",3.92,"326,000"
Newfoundland,"320,000","1,100",100,1200,0.3,
New Zealand,"1,629,000","11,700",,11700,0.72,"19,314"
Romania,"15,970,000","300,000","200,000","500,000",3.13,"332,769"
South Africa,"10,160,000","11,900",,11900,0.12,"14,363"
Soviet Union,"188,793,000","11,400,000","10,000,000","27,000,000",1.15,
Sweden,"6,341,000",100,"2,000",2100,0.03,
Switzerland,"4,210,000",,100,100,0,
Thailand,"15,023,000","5,600","2,000",7600,0.05,
Turkey,"17,370,000",200,,200,0,
United Kingdom,"47,760,000","383,700","67,200",450900,0.94,"376,239"
United States,"131,028,000","407,300","12,100",419400,0.32,"671,801"
